review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,12,29,3,Recommended,Product is fine but delivery was slow.,true,13,2024-03-20
2,10,24,4,Very good,Did not meet my expectations.,true,41,2024-03-19
3,1,1,4,Meets expectations,Product is fine but delivery was slow.,false,11,2023-06-13
4,12,1,2,Could be better,Arrived on time and in perfect condition.,true,12,2025-03-30
5,13,27,2,Not so good,Arrived on time and in perfect condition.,true,22,2025-08-24
6,5,25,4,Could be better,Good but expected a bit more.,false,31,2023-04-28
7,10,28,4,Not so good,Does what it promises.,true,0,2023-06-07
8,18,6,2,Meets expectations,Very good quality for the price.,true,24,2024-07-29
9,20,14,2,Very good,Does what it promises.,false,35,2024-03-04
10,15,19,2,Satisfied,Excellent value for money.,true,34,2024-06-15
11,20,2,2,Satisfied,Did not meet my expectations.,false,39,2024-12-15
12,13,20,5,Meets expectations,Good but expected a bit more.,true,39,2023-08-14
13,5,14,3,Not so good,Does what it promises.,true,29,2023-03-10
14,3,4,1,Excellent product,Product is fine but delivery was slow.,false,11,2024-09-07
15,20,19,3,Not so good,Arrived on time and in perfect condition.,false,26,2025-04-10
16,8,1,2,Very good,Does what it promises.,true,8,2024-09-18
17,16,5,1,Good quality,Does what it promises.,true,40,2023-03-06
18,5,20,2,Could be better,Product is fine but delivery was slow.,false,2,2024-07-15
19,11,26,3,Very good,"Exceeded my expectations, highly recommend.",true,25,2024-08-28
20,16,27,1,Good quality,Did not meet my expectations.,false,2,2025-04-02
21,2,33,5,Satisfied,Arrived on time and in perfect condition.,true,27,2024-03-20
22,3,6,2,Recommended,Did not meet my expectations.,true,11,2024-02-16
23,13,16,3,Could be better,Did not meet my expectations.,true,12,2024-05-14
24,17,32,2,Excellent product,Excellent value for money.,true,4,2024-11-12
25,7,29,4,Meets expectations,"Exceeded my expectations, highly recommend.",false,9,2023-04-29
26,9,20,2,Excellent product,Did not meet my expectations.,false,36,2025-03-10
27,17,28,4,Not so good,Did not meet my expectations.,false,47,2024-04-23
28,17,4,5,Very good,Very good quality for the price.,true,50,2026-01-28
29,5,29,3,Very good,Good but expected a bit more.,true,45,2025-11-17
30,13,19,5,Not so good,Does what it promises.,true,19,2024-04-27
31,6,26,1,Recommended,Very good quality for the price.,false,26,2023-04-02
32,8,8,1,Good quality,Arrived on time and in perfect condition.,true,4,2023-01-20
33,18,21,1,Satisfied,Very good quality for the price.,false,5,2025-01-18
34,9,32,4,Satisfied,Arrived on time and in perfect condition.,false,16,2023-12-15
35,14,3,3,Very good,Did not meet my expectations.,true,31,2026-02-04
36,5,16,3,Good quality,Excellent value for money.,true,34,2023-10-17
37,12,21,1,Meets expectations,Arrived on time and in perfect condition.,true,21,2023-03-21
38,18,2,3,Excellent product,Product is fine but delivery was slow.,true,22,2024-09-10
39,5,1,2,Excellent product,Arrived on time and in perfect condition.,true,27,2023-10-08
40,11,5,5,Recommended,Product is fine but delivery was slow.,true,8,2025-06-29
41,18,17,5,Not so good,"Exceeded my expectations, highly recommend.",false,14,2023-02-09
42,10,6,3,Recommended,"Exceeded my expectations, highly recommend.",true,49,2025-01-10
43,3,10,1,Meets expectations,Good but expected a bit more.,true,28,2025-05-13
44,1,9,3,Satisfied,"Exceeded my expectations, highly recommend.",true,33,2024-03-22
45,15,21,1,Meets expectations,Arrived on time and in perfect condition.,true,17,2024-08-18
46,10,27,3,Satisfied,Good but expected a bit more.,true,0,2024-05-02
47,2,6,2,Excellent product,Product is fine but delivery was slow.,true,15,2024-12-11
48,16,19,1,Excellent product,Did not meet my expectations.,false,30,2023-07-12
49,2,30,1,Good quality,Good but expected a bit more.,true,10,2023-06-12
50,9,9,2,Satisfied,Does what it promises.,true,31,2024-05-06
51,15,22,1,Very good,Good but expected a bit more.,true,32,2024-11-20
52,15,9,2,Could be better,Excellent value for money.,true,1,2024-10-15
53,10,30,5,Good quality,Product is fine but delivery was slow.,false,9,2023-02-18
54,3,21,2,Excellent product,Excellent value for money.,true,1,2025-04-24
55,13,19,1,Satisfied,Product is fine but delivery was slow.,false,37,2025-02-26
56,8,3,3,Very good,Product is fine but delivery was slow.,true,2,2023-04-06
57,2,9,1,Satisfied,Good but expected a bit more.,true,45,2025-12-23
58,19,26,1,Good quality,Good but expected a bit more.,false,26,2024-07-08
59,2,8,4,Could be better,Does what it promises.,true,44,2024-04-30
60,1,2,2,Good quality,Arrived on time and in perfect condition.,true,47,2025-12-04
61,8,25,5,Satisfied,Good but expected a bit more.,true,9,2025-07-09
62,13,21,4,Good quality,Does what it promises.,true,1,2023-06-23
63,14,23,1,Meets expectations,Good but expected a bit more.,true,7,2023-12-25
64,17,3,2,Excellent product,Did not meet my expectations.,true,29,2023-11-18
65,13,27,2,Very good,Very good quality for the price.,false,2,2024-03-02
66,3,1,5,Recommended,Does what it promises.,true,40,2025-02-22
67,13,22,2,Recommended,"Exceeded my expectations, highly recommend.",true,9,2023-11-19
68,14,17,5,Recommended,Excellent value for money.,true,26,2024-06-18
69,8,5,1,Could be better,Product is fine but delivery was slow.,true,16,2025-05-27
70,18,6,3,Recommended,"Exceeded my expectations, highly recommend.",true,10,2023-08-31
71,10,34,2,Meets expectations,Does what it promises.,true,7,2023-11-18
72,1,34,5,Meets expectations,Good but expected a bit more.,true,49,2023-10-26
73,11,14,2,Very good,Did not meet my expectations.,false,38,2024-12-05
74,11,28,4,Satisfied,"Exceeded my expectations, highly recommend.",true,31,2023-01-14
75,11,22,2,Excellent product,Arrived on time and in perfect condition.,true,24,2023-12-01
76,15,5,4,Satisfied,Does what it promises.,false,18,2023-07-16
77,20,18,3,Good quality,Does what it promises.,false,2,2025-04-04
78,18,9,5,Satisfied,Does what it promises.,false,34,2023-05-02
79,12,32,3,Excellent product,Product is fine but delivery was slow.,true,27,2023-12-20
80,11,15,2,Meets expectations,Good but expected a bit more.,true,23,2023-08-03
81,17,10,5,Very good,Does what it promises.,false,41,2024-10-10
82,3,11,1,Could be better,Excellent value for money.,true,42,2025-02-25
83,9,18,4,Not so good,Very good quality for the price.,false,26,2023-07-04
84,10,16,2,Good quality,Excellent value for money.,false,13,2025-01-13
85,16,32,5,Satisfied,Product is fine but delivery was slow.,true,31,2024-07-25
86,8,9,2,Not so good,Very good quality for the price.,true,5,2025-09-13
87,15,7,5,Recommended,"Exceeded my expectations, highly recommend.",true,13,2023-04-23
88,14,30,2,Recommended,"Exceeded my expectations, highly recommend.",true,7,2025-02-28
89,14,12,5,Could be better,Did not meet my expectations.,true,32,2025-12-28
90,3,2,2,Very good,Arrived on time and in perfect condition.,true,40,2023-05-15
91,5,34,1,Not so good,Good but expected a bit more.,true,10,2023-03-22
92,7,16,3,Not so good,Good but expected a bit more.,true,47,2024-10-16
93,12,30,4,Meets expectations,Very good quality for the price.,true,35,2025-04-15
94,2,10,4,Could be better,"Exceeded my expectations, highly recommend.",true,30,2023-09-23
95,3,24,4,Not so good,Excellent value for money.,true,43,2026-01-29
96,7,22,5,Meets expectations,Arrived on time and in perfect condition.,true,43,2025-12-28
97,9,5,1,Very good,"Exceeded my expectations, highly recommend.",true,36,2024-08-22
98,8,23,4,Good quality,Does what it promises.,true,13,2023-05-26
99,4,11,5,Not so good,Excellent value for money.,true,2,2023-11-04
100,20,21,3,Excellent product,Product is fine but delivery was slow.,true,28,2025-10-26
